id_tse;cargo;nome_completo;numero_candidato;nome_urna;situacao_candidatura;detalhe_situacao_candidatura;numero_partido;sigla_partido;nome_partido;municipio_nascimento;data_nascimento;genero;grau_instrucao;estado_civil;cor_raca;ocupacao;reeleicao;venceu;situacao_candidatura_urna;bens;receita_campanha;despesa_contratada_campanha;number;votos;porcentagem
160000625789;DEPUTADO FEDERAL;GIANA DE MARCO VIANNA DA SILVA;5090;GIANA DE MARCO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CURITIBA;03/05/1990;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;ADVOGADO;N;NÃO ELEITO;INDEFERIDO COM RECURSO;9330.0;5214.52;5165.83;5090.0;0,06%;3549.0
160000621598;DEPUTADO ESTADUAL;CLODOALDO CAMARGO DE MELO;44200;CLODOALDO CAMARGO;APTO;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;CURITIBA;12/02/1978;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;COMERCIANTE;N;SUPLENTE;DEFERIDO;380000.0;18630.0;21130.0;;;
160000623153;DEPUTADO FEDERAL;DANIELLA BLANC PIERRI MARQUES;9009;PROFESSORA DANI BLANC;APTO;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARANAVAI;09/04/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;PROFESSOR DE ENSINO FUNDAMENTAL;N;SUPLENTE;DEFERIDO;11.14;299684.0;296803.9;9009.0;0,03%;1753.0
160000626075;DEPUTADO ESTADUAL;REILLY AGARI ALGODOAL;51000;RELLY AGARI ALGODOAL;APTO;DEFERIDO;51;PATRIOTA;PATRIOTA;LONDRINA;28/06/1961;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ENGENHEIRO;N;SUPLENTE;DEFERIDO;129900.0;7209.6;2500.01;;;
160000625784;VICE-GOVERNADOR;FERNANDA LOPES DE CAMARGO;50;FERNANDA CAMARGO;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;RIBEIRÃO PRETO;26/01/1976;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;ASSISTENTE SOCIAL;N;NÃO ELEITO;DEFERIDO;190000.0;;;;;
160000625779;DEPUTADO FEDERAL;PÉRICLES ARIZA;5017;PROFESSOR PÉRICLES ARIZA;APTO;DEFERIDO;50;PSOL;PARTIDO SOCIALISMO E LIBERDADE;CASCAVEL;23/09/1984;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;PROFESSOR DE ENSINO MÉDIO;N;NÃO ELEITO;DEFERIDO;;3884.52;3884.52;5017.0;0,01%;533.0
160000612867;DEPUTADO ESTADUAL;CID CLAITON FERREIRA;43043;DR CID FERREIRA;APTO;DEFERIDO;43;PV;PARTIDO VERDE;CURITIBA;08/05/1964;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;MÉDICO;N;SUPLENTE;DEFERIDO;2388924.01;36000.0;28500.0;;;
160000619643;DEPUTADO ESTADUAL;JOSE APARECIDO JACOVOS;22038;DELEGADO JACOVOS;APTO;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;CIANORTE;28/10/1963;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;SERVIDOR PÚBLICO ESTADUAL;N;ELEITO POR QP;DEFERIDO;4820000.0;212670.56;183063.56;;;
160000629095;2º SUPLENTE;SERGIO PEREIRA;177;SERGIO PEREIRA;INAPTO;INDEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;CASTRO;30/03/1951;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);N;;;;;;;;
160000619616;DEPUTADO FEDERAL;OSVALDO BUSKEI;1019;OSVALDO BUSKEI;APTO;DEFERIDO;10;PRB;PARTIDO REPUBLICANO BRASILEIRO;TRES BARRAS;25/12/1944;MASCULINO;SUPERIOR COMPLETO;CASADO(A);BRANCA;JORNALISTA E REDATOR;N;SUPLENTE;PENDENTE DE JULGAMENTO;10000.0;8048.9400000000005;6342.0;1019.0;0,00%;134.0
